lid,lnombre,cid
0,Museo del Louvre,2
1,Galería Uffizi,1
2,La basílica de San Pedro,0
3,Museos Vaticanos,0
4,Royal Academy of Arts,8
5,Basílica de Santa María del Popolo,0
6,El Museo de Bellas Artes de Nancy,4
7,Museo de la Ópera del duomo,1
8,Santa María del Fiore,1
9,Piazza di Floros,6
10,Piazza Navona,0
11,Iglesia de Santa María de la Victoria,0
12,Piazza della Minerva,0
13,Piazza San Pietro,0
14,Galería Borghese,0
15,Museo de la ciudad de Bruselas,5
16,Santa Maria delle Grazie,9
17,Galería de la Academia,1
18,San Pietro in Vincoli,0
19,Capilla Sixtina,0
20,Galería de Pinturas de los Maestros Antiguos,7
21,Museo Condé,3
