oid,onombre,fecha_inicio,fecha_culminacion,lid
0,San Sebastián,1479,1480,0
1,La Anunciación,1472,1475,1
2,Bautismo de Cristo,1472,1475,1
3,La Estatua de San Pedro,1300,1305,2
4,El Santo Entierro,1602,1604,3
5,Tondo Taddei,1504,1506,4
6,Crucifixión de San Pedro,1600,1601,5
7,La Anunciación,1607,1608,6
8,La cabeza de Medusa,1596,1597,1
9,María Magdalena Penitente,1453,1455,7
10,La Libertad guiando al pueblo,1829,1830,0
11,El juicio Final,1541,1563,8
12,Pitufiescultura,2018,2019,9
13,PitufiFresco,2019,2020,0
14,La Fuente de Neptuno,1573,1574,10
15,La Fuente de los Cuatro Ríos,1648,1651,10
16,La anunciación,1618,1619,0
17,Éxtasis de Santa Teresa,1645,1652,11
18,Pulcin della Minerva,1666,1667,12
19,Santos Piazza San Pietro,1656,1667,13
20,Apolo y Dafne,1622,1625,14
21,Maesta di Ognissanti,1309,1310,1
22,La anunciación,1300,1304,0
23,Polittico di Badia,1299,1300,1
24,La consagración de Napoleón,1805,1807,0
25,Manneken Pis,1618,1619,15
26,La última cena,1495,1498,16
27,La Mona Lisa,1503,1519,0
28,La Piedad,1498,1499,2
29,El David,1501,1504,17
30,El Moisés,1513,1515,18
31,La creación de Adán,1500,1511,19
32,El Juicio Final,1537,1541,19
33,Estancias de Rafael,1508,1524,3
34,La transfiguración,1517,1520,3
35,Madonna Sixtina,1513,1514,20
36,Las Gracias,1504,1505,21
37,La primavera,1477,1478,1
38,El nacimiento de Venus,1482,1485,1
